menuId,menuName,menuIcon,menuType,parentMenuId,sortOrder
tracking,追踪系统,mdi:chart-line,single,,1
spy,SPY服务,mdi:eye,single,,2
traffic,流量平台,mdi:traffic-light,tabs,,3
traffic-pop,PoP流量,mdi:popup,single,traffic,1
traffic-native,原生广告流量,mdi:newspaper,single,traffic,2
traffic-push,Push流量,mdi:bell,single,traffic,3
traffic-social,社交流量,mdi:account-group,single,traffic,4
traffic-search,搜索流量,mdi:magnify,single,traffic,5
traffic-adult,Adult流量,mdi:alert-circle,single,traffic,6
networks,综合性联盟,mdi:handshake,single,,4
cpa,CPA联盟,mdi:currency-usd,single,,5
forum,广告论坛,mdi:forum,single,,6
seo,SEO工具,mdi:search-web,single,,7
email,邮件营销,mdi:email,single,,8
ecommerce,电商平台,mdi:shopping,single,,9
backend,联盟后台,mdi:view-dashboard,single,,10
domain,域名注册,mdi:web,single,,11
hosting,云服务器,mdi:server,single,,12
dedicated,独立服务器,mdi:server-network,single,,13
payment,支付服务,mdi:credit-card,single,,14
vps,VPS代理,mdi:server-network,single,,15
tools,落地页工具,mdi:tools,single,,16
